Week Ending,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Submitted Data,Passed Quality Assurance Check,Residents Weekly Admissions COVID-19,Residents Total Admissions COVID-19,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly Suspected COVID-19,Residents Total Suspected COVID-19,Residents Weekly All Deaths,Residents Total All Deaths,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,Resident Access to Testing in Facility,Laboratory Type Is State Health Dept,Laboratory Type Is Private Lab,Laboratory Type Is Other,Staff Weekly Confirmed COVID-19,Staff Total Confirmed COVID-19,Staff Weekly Suspected COVID-19,Staff Total Suspected COVID-19,Staff Weekly COVID-19 Deaths,Staff Total COVID-19 Deaths,Shortage of Nursing Staff,Shortage of Clinical Staff,Shortage of Aides,Shortage of Other Staff,Any Current Supply of N95 Masks,One-Week Supply of N95 Masks,Any Current Supply of Surgical Masks,One-Week Supply of Surgical Masks,Any Current Supply of Eye Protection,One-Week Supply of Eye Protection,Any Current Supply of Gowns,One-Week Supply of Gowns,Any Current Supply of Gloves,One-Week Supply of Gloves,Any Current Supply of Hand Sanitizer,One-Week Supply of Hand Sanitizer,Ventilator Dependent Unit,Number of Ventilators in Facility,Number of Ventilators in Use for COVID-19,Any Current Supply of Ventilator Supplies,One-Week Supply of Ventilator Supplies,"Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Total Residents COVID-19 Deaths as a Percentage of Confirmed COVID-19 Cases,Three or More Confirmed COVID-19 Cases This Week or Initial Confirmed COVID-19 Case this Week,County,Geolocation,Initial Confirmed COVID-19 Case This Week,Able to Test or Obtain Resources to Test All Current Residents Within Next 7 Days,Reason for Not Testing Residents - Lack of PPE for Personnel,Reason for Not Testing Residents - Lack of Supplies,Reason for Not Testing Residents - Lack of Access to Laboratory,Reason for Not Testing Residents - Lack of Access to Trained Personnel,Reason for Not Testing Residents - Uncertainty About Reimbursement,Reason for Not Testing Residents - Other,During Past Two Weeks Average Time to Receive Resident Test Results,Has Facility Performed Resident Tests Since Last Report,Tested Residents with New Signs or Symptoms,Tested Asymptomatic Residents in a Unit or Section After a New Case,Tested Asymptomatic Residents Facility-Wide After a New Case,Tested Asymptomatic Residents Without Known Exposure as Surveillance,Tested Another Subgroup of Residents,Able to Test or Obtain Resources to Test All Staff and/or Personnel Within Next 7 Days,Reason for Not Testing Staff and/or Personnel - Lack of PPE for Personnel,Reason for Not Testing Staff and/or Personnel - Lack of Supplies,Reason for Not Testing Staff and/or Personnel - Lack of Access to Laboratory,Reason for Not Testing Staff and/or Personnel - Lack of Access to Trained Personnel,Reason for Not Testing Staff and/or Personnel - Uncertainty About Reimbursement,Reason for Not Testing Staff and/or Personnel - Other,During Past Two Weeks Average Time to Receive Staff and/or Personnel Test Results,Has Facility Performed Staff and/or Personnel Tests Since Last Report,Tested Staff and/or Personnel with New Signs or Symptoms,Tested Asymptomatic Staff and/or Personnel in a Unit or Section After a New Case,Tested Asymptomatic Staff and/or Personnel Facility-Wide After a New Case,Tested Asymptomatic Staff and/or Personnel Without Known Exposure as Surveillance,Tested Another Subgroup of Staff and/or Personnel
10/04/2020,075240,GLENDALE CENTER,4 HAZEL AVE,NAUGATUCK,CT,06770,Y,Y,0,5,1,42,0,1,0,23,0,6,120,103,,,,,0,23,0,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,,,,,407.8,58.3,14.3,N,New Haven,POINT (-73.036733 41.469038),N,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,Y,Y,Y,N,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,Y,Y,Y,N
09/20/2020,075350,SHERIDEN WOODS,321 STONECREST DRIVE,BRISTOL,CT,06010,Y,Y,0,21,0,16,0,23,1,7,0,1,146,104,,,,,1,13,0,11,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,153.8,9.6,6.3,N,Hartford,POINT (-72.92134 41.681398),N,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,N,Y,N,N
11/01/2020,075146,MIDDLEBURY CONVALESCENT HOME,778 MIDDLEBURY RD,MIDDLEBURY,CT,06762,Y,Y,0,0,0,0,0,0,1,3,0,0,58,44,,,,,1,2,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,,N,New Haven,POINT (-73.115064 41.537781),N,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,N,Y,Y,N,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,N,Y,Y,N
10/25/2020,075436,TOUCHPOINTS AT CHESTNUT,171 MAIN ST,EAST WINDSOR,CT,06088,Y,Y,0,1,7,24,0,0,1,5,1,1,60,38,,,,,8,14,0,7,0,0,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,631.6,26.3,4.2,Y,Hartford,POINT (-72.617846 41.925994),N,Y,N,N,N,N,N,N,3-7 DAYS,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,3-7 DAYS,Y,N,N,Y,N,N
07/12/2020,075300,APPLE REHAB SHELTON LAKES,5 LAKE ROAD,SHELTON,CT,06484,Y,Y,4,5,0,0,0,0,1,3,0,0,106,73,Y,N,Y,N,0,0,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,,N,Fairfield,POINT (-73.115165 41.313756),N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2020,075252,WESTSIDE CARE CENTER,349 BIDWELL STREET,MANCHESTER,CT,06040,Y,Y,0,1,0,81,0,0,0,33,0,28,162,129,,,,,2,27,0,34,0,0,N,N,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,,,,,627.9,217.1,34.6,N,Hartford,POINT (-72.544459 41.759532),N,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,N,N,Y,N
11/01/2020,075410,AARON MANOR NURSING & REHABILITATION,3 SOUTH WIG HILL RD,CHESTER,CT,06412,Y,Y,0,5,0,40,0,0,1,15,0,12,60,41,,,,,0,19,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,975.6,292.7,30,N,Middlesex,POINT (-72.474826 41.400691),N,Y,N,N,N,N,N,N,3-7 DAYS,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,3-7 DAYS,Y,N,N,Y,N,N
07/26/2020,075251,TOUCHPOINTS AT FARMINGTON,SCOTT SWAMP RD,FARMINGTON,CT,06032,Y,Y,0,33,0,100,0,2,0,16,0,16,90,81,Y,Y,Y,N,0,5,0,29,0,0,N,N,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,,,,,1234.6,197.5,16,N,Hartford,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/08/2020,075113,GREENTREE MANOR NURSING & REHA,4 GREENTREE DRIVE,WATERFORD,CT,06385,Y,Y,0,0,0,0,0,0,0,13,0,0,90,80,,,,,0,4,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,,N,New London,POINT (-72.145458 41.394072),N,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,1-2 DAYS,Y,Y,N,N,N,N
10/04/2020,075438,"ORCHARD GROVE SPECIALTY CARE CENTER, LLC",5 RICHARD BROWN DRIVE,UNCASVILLE,CT,06382,Y,Y,0,1,0,0,0,0,0,71,0,0,130,98,,,,,1,1,0,0,0,0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,,N,New London,POINT (-72.112266 41.49273),N,Y,N,N,N,N,N,N,3-7 DAYS,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,3-7 DAYS,Y,N,N,N,Y,N
08/02/2020,075378,LIVEWELL CONNECTICUT,1261 SOUTH MAIN STREET,PLANTSVILLE,CT,06479,Y,Y,1,6,0,0,0,0,0,7,0,0,120,113,Y,Y,N,N,0,3,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,,N,Hartford,POINT (-72.89584700000002 41.57315800000001),N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/20/2020,075214,"PORTLAND CARE & REHAB CENTER,",333 MAIN ST,PORTLAND,CT,06480,Y,Y,0,52,0,26,0,31,0,27,0,11,65,58,,,,,0,16,0,55,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,448.3,189.7,42.3,N,Middlesex,POINT (-72.636328 41.578561),N,Y,N,N,N,N,N,N,N/A,N,N,N,N,N,N,Y,N,N,N,N,N,N,3-7 DAYS,Y,N,N,N,N,Y
10/18/2020,075318,POMPERAUG WOODS HEALTH CENTER,80 HERITAGE RD,SOUTHBURY,CT,06488,Y,Y,0,1,0,4,0,4,0,14,0,2,37,25,,,,,0,4,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,160,80,50,N,New Haven,POINT (-73.217482 41.482196),N,Y,N,N,N,N,N,N,>7 DAYS,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,3-7 DAYS,Y,N,N,N,Y,N
08/09/2020,075290,WHITNEY CENTER,200 LEEDER HILL DR,HAMDEN,CT,06517,Y,Y,0,1,0,0,0,0,0,14,0,1,59,46,Y,N,Y,N,0,1,0,1,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,21.7,,N,New Haven,POINT (-72.920674 41.34892),N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/16/2020,075159,CASSENA CARE AT NORWALK,23 PROSPECT AVENUE,NORWALK,CT,06850,Y,Y,0,34,0,73,0,66,0,40,0,29,150,107,,,,,0,31,0,12,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,682.2,271,39.7,N,Fairfield,POINT (-73.422102 41.114044),N,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,N,N,Y,N
05/24/2020,075028,CHESTERFIELDS HEALTH CARE CENTER,132 MAIN ST,CHESTER,CT,06412,Y,N,0,0,0,0,1,1,5,5,2,2,60,43,Y,Y,N,N,0,0,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,46.5,,,Middlesex,POINT (-72.444292 41.402072000000004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/26/2020,075415,COUNTRYSIDE MANOR OF BRISTOL,1660 STAFFORD AVENUE,BRISTOL,CT,06010,Y,Y,0,4,0,22,0,4,1,11,0,7,90,58,Y,N,Y,N,0,1,0,3,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,379.3,120.7,31.8,N,Hartford,POINT (-72.91463 41.721245),N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/26/2020,075102,MERIDIAN MANOR,1132 MERIDEN RD,WATERBURY,CT,06705,Y,Y,0,1,0,0,1,4,0,1,0,0,60,37,Y,N,Y,N,0,1,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,,N,New Haven,POINT (-72.981851 41.552609),N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/16/2020,075441,"SPRINGS AT WATERMARK EAST HILL, THE",611 EAST HILL ROAD,SOUTHBURY,CT,06488,Y,Y,0,3,0,0,0,1,0,0,0,0,35,25,,,,,1,1,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,,N,New Haven,POINT (-73.241049 41.485015),N,Y,N,N,N,N,N,N,N/A,N,N,N,N,N,N,Y,N,N,N,N,N,N,3-7 DAYS,Y,N,N,N,N,Y
10/25/2020,075195,PARKWAY PAVILION HEALTH AND REHABILITATION CENTER,1157 ENFIELD STREET,ENFIELD,CT,06082,Y,Y,0,5,0,102,1,6,0,35,0,19,130,115,,,,,0,28,0,12,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,887,165.2,18.6,N,Hartford,POINT (-72.593179 41.986582),N,Y,N,N,N,N,N,N,1-2 DAYS,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,Y,N,N,N
07/05/2020,075336,SOUTHINGTON CARE CENTER,45 MERIDEN AVE,SOUTHINGTON,CT,06489,Y,Y,1,3,0,59,0,10,0,9,0,9,130,90,Y,N,Y,Y,0,31,2,8,0,0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,655.6,100,15.3,N,Hartford,POINT (-72.876623 41.59615),N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/02/2020,075358,BICKFORD HEALTH CARE CENTER,14 MAIN STREET,WINDSOR LOCKS,CT,06096,Y,Y,0,5,0,48,0,69,0,17,0,11,48,27,Y,Y,Y,N,0,30,0,17,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,1777.8,407.4,22.9,N,Hartford,POINT (-72.627281 41.926759),N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/08/2020,075264,TOUCHPOINTS AT BLOOMFIELD,140 PARK AVE,BLOOMFIELD,CT,06002,Y,Y,0,64,1,102,0,2,0,20,0,15,145,105,,,,,1,20,0,7,0,1,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,971.4,142.9,14.7,N,Hartford,POINT (-72.703607 41.822945),N,Y,N,N,N,N,N,N,3-7 DAYS,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,3-7 DAYS,Y,N,N,N,Y,N
09/06/2020,075084,"VILLA MARIA NURSING & REHAB COMMUNITY, INC",20 BABCOCK AVENUE,PLAINFIELD,CT,06374,Y,Y,0,1,0,0,0,1,0,1,0,0,62,54,,,,,0,0,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,,N,Windham,POINT (-71.917758 41.678696),N,Y,N,N,N,N,N,N,,,N,N,N,N,N,Y,N,N,N,N,N,N,,N,N,N,N,N,N
09/27/2020,075368,"GARDNER HEIGHTS HEALTH CARE CENTER, INC",172 ROCKY REST ROAD,SHELTON,CT,06484,Y,Y,0,21,0,6,0,19,2,13,0,2,130,91,,,,,0,9,0,1,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,65.9,22,33.3,N,Fairfield,POINT (-73.095187 41.286437),N,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,N,N,Y,N
11/08/2020,075389,APPLE REHAB LAUREL WOODS,451 NORTH HIGH STREET,EAST HAVEN,CT,06512,Y,Y,0,2,0,25,0,8,1,18,0,6,120,86,,,,,0,14,0,7,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,290.7,69.8,24,N,New Haven,POINT (-72.866922 41.292497),N,Y,N,N,N,N,N,N,3-7 DAYS,N,N,N,N,N,N,Y,N,N,N,N,N,N,3-7 DAYS,Y,N,N,N,Y,N
06/21/2020,075265,"ELIM PARK BAPTIST HOME, INC",140 COOK HILL RD,CHESHIRE,CT,06410,Y,Y,0,1,0,5,0,0,0,8,0,6,90,56,Y,Y,Y,N,1,9,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,89.3,107.1,120,N,New Haven,POINT (-72.900936 41.466811),N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/19/2020,075286,NEWINGTON RAPID RECOVERY REHAB CENTER,240 CHURCH ST,NEWINGTON,CT,06111,Y,Y,0,15,1,25,2,20,0,10,0,7,180,121,Y,N,Y,N,0,0,0,1,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,206.6,57.9,28,N,Hartford,POINT (-72.73936300000001 41.665919),N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/09/2020,075031,GLEN HILL CENTER,1 GLEN HILL RD,DANBURY,CT,06811,Y,Y,0,2,0,35,0,3,0,16,0,8,100,75,Y,Y,Y,N,0,12,1,6,0,0,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,,,,,466.7,106.7,22.9,N,Fairfield,POINT (-73.449309 41.414466),N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/27/2020,075138,BLOOMFIELD HEALTH CARE CENTER,355 PARK AVENUE,BLOOMFIELD,CT,06002,Y,Y,0,26,0,53,0,38,0,29,0,13,120,99,,,,,0,21,0,17,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,535.4,131.3,24.5,N,Hartford,POINT (-72.713086 41.822502),N,Y,N,N,N,N,N,N,3-7 DAYS,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,3-7 DAYS,Y,N,N,N,Y,N
09/06/2020,075355,NEWTOWN REHABILITATION & HEALTH CARE CENTER,139 TODDY HILL ROAD,NEWTOWN,CT,06470,Y,Y,0,21,0,87,0,15,1,47,0,31,137,102,,,,,0,15,0,1,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,852.9,303.9,35.6,N,Fairfield,POINT (-73.258982 41.382079),N,Y,N,N,N,N,N,N,3-7 DAYS,N,N,N,N,N,N,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,N,N,Y,N
09/06/2020,075374,MONSIGNOR BOJNOWSKI MANOR,50 PULASKI STREET,NEW BRITAIN,CT,06053,Y,Y,0,3,0,0,0,0,0,1,0,0,60,44,,,,,0,0,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,,N,Hartford,POINT (-72.798371 41.675475),N,Y,N,N,N,N,N,N,1-2 DAYS,N,N,N,N,N,N,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,N,N,N,Y
07/19/2020,075232,COBALT LODGE HEALTH CARE & REH,29 MIDDLE HADDAM RD,COBALT,CT,06414,Y,Y,0,35,0,0,0,0,0,0,0,0,35,30,Y,Y,Y,N,0,0,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,,N,Middlesex,POINT (-72.554057 41.558675),N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/23/2020,075374,MONSIGNOR BOJNOWSKI MANOR,50 PULASKI STREET,NEW BRITAIN,CT,06053,Y,Y,0,3,0,0,0,0,0,1,0,0,60,49,,,,,0,0,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,,N,Hartford,POINT (-72.798371 41.675475),N,Y,N,N,N,N,N,N,N/A,N,N,N,N,N,N,Y,N,N,N,N,N,N,1-2 DAYS,N,N,N,N,N,N
09/20/2020,075325,"MARY WADE HOME, INC",118 CLINTON AVE,NEW HAVEN,CT,06513,Y,Y,0,22,0,52,0,1,0,29,0,17,94,72,,,,,0,50,0,1,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,722.2,236.1,32.7,N,New Haven,POINT (-72.891247 41.312612),N,Y,N,N,N,N,N,N,1-2 DAYS,N,N,N,N,N,N,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,N,N,Y,N
09/20/2020,075405,MADISON HOUSE,34 WILDWOOD AVENUE,MADISON,CT,06443,Y,Y,0,8,0,43,0,0,0,24,0,13,89,46,,,,,0,18,0,1,0,0,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,,,,,934.8,282.6,30.2,N,New Haven,POINT (-72.638357 41.287548),N,N,N,N,N,Y,N,N,3-7 DAYS,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,3-7 DAYS,Y,N,N,N,Y,N
07/19/2020,075146,MIDDLEBURY CONVALESCENT HOME,778 MIDDLEBURY RD,MIDDLEBURY,CT,06762,Y,Y,0,0,0,0,0,0,0,1,0,0,58,46,Y,N,Y,N,0,0,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,,N,New Haven,POINT (-73.115064 41.537781),N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/13/2020,075078,WESTVIEW NURSING CARE & REHAB,150 WARE RD,DAYVILLE,CT,06241,Y,Y,0,0,0,0,2,11,0,11,0,0,103,99,,,,,0,2,2,16,0,0,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0,0,,N,Windham,POINT (-71.872542 41.880358),N,Y,N,N,N,N,N,N,1-2 DAYS,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,1-2 DAYS,Y,Y,N,N,N,N
07/26/2020,075351,ABBOTT TERR HEALTH CTR,44 ABBOTT TERR,WATERBURY,CT,06702,Y,Y,0,31,0,1,0,1,0,3,0,1,205,134,Y,Y,Y,N,0,2,0,2,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,7.5,7.5,100,N,New Haven,POINT (-73.038022 41.556464),N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/21/2020,075442,60 WEST,60 WEST STREET,ROCKY HILL,CT,06067,Y,Y,0,8,0,91,0,0,0,8,0,13,95,83,Y,Y,Y,N,0,31,0,25,0,1,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,1096.4,156.6,14.3,N,Hartford,POINT (-72.643245 41.65413000000001),N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/07/2020,075373,CHESHIRE HOUSE HEALTH CARE FAC,3396 E MAIN STREET,WATERBURY,CT,06705,Y,Y,0,0,2,29,0,27,0,15,0,15,75,45,Y,N,Y,N,0,8,0,8,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,644.4,333.3,51.7,N,New Haven,POINT (-72.977713 41.544185),N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2020,075440,"SPRINGS AT WATERMARK 3030 PARK, THE",3030 PARK AVENUE,BRIDGEPORT,CT,06604,Y,Y,0,0,0,2,0,0,1,3,0,1,23,14,,,,,0,0,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,142.9,71.4,50,N,Fairfield,POINT (-73.219717 41.198599),N,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,N,N,Y,N
08/23/2020,075387,AUTUMN LAKE HEALTHCARE AT NORWALK,34 MIDROCKS DRIVE,NORWALK,CT,06851,Y,Y,0,10,1,63,0,0,1,35,0,27,150,99,,,,,0,23,0,2,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,636.4,272.7,42.9,N,Fairfield,POINT (-73.415254 41.142315),N,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,N,N,Y,N
05/24/2020,075275,GRIMES YNHCC,1354 CHAPEL ST,NEW HAVEN,CT,06511,Y,Y,24,24,72,72,0,0,3,3,3,3,114,92,Y,N,Y,N,22,22,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,782.6,32.6,4.2,,New Haven,POINT (-72.940276 41.310389),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/06/2020,075293,JEFFERSON HOUSE,ONE JOHN STEWART DR,NEWINGTON,CT,06111,Y,Y,0,0,0,30,1,11,0,8,0,8,104,94,,,,,0,24,0,21,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,319.1,85.1,26.7,N,Hartford,,N,Y,N,N,N,N,N,N,1-2 DAYS,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,1-2 DAYS,N,N,N,N,N,N
09/06/2020,075328,WATROUS NURSING CENTER,9 NECK ROAD,MADISON,CT,06443,Y,Y,0,0,0,1,0,1,0,0,0,0,45,31,,,,,0,1,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,32.3,0,0,N,New Haven,POINT (-72.62663300000001 41.277675),N,Y,N,N,N,N,N,N,,,N,N,N,N,N,,N,N,N,N,N,N,,,N,N,N,N,N
06/28/2020,075111,WOLCOTT HALL NURSING CTR,215 FOREST ST,TORRINGTON,CT,06790,Y,Y,0,1,0,5,0,2,0,4,0,0,60,36,Y,N,Y,N,0,0,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,138.9,0,0,N,Litchfield,POINT (-73.128142 41.80896),N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/24/2020,075341,PENDLETON HEALTH & REHABILITATION CENTER,44 MARITIME DRIVE,MYSTIC,CT,06355,Y,Y,0,0,0,0,1,1,8,8,0,0,120,89,Y,Y,Y,Y,1,1,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,0,0,,,New London,POINT (-71.950839 41.369335),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/16/2020,075063,AVERY NURSING HOME,705 NEW BRITAIN AVE,HARTFORD,CT,06106,Y,Y,0,15,0,36,0,1,0,17,0,11,199,157,,,,,1,52,0,9,0,0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,229.3,70.1,30.6,N,Hartford,POINT (-72.705383 41.733277),N,Y,N,N,N,N,N,N,N/A,N,N,N,N,N,N,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,N,N,Y,N
08/16/2020,075380,APPLE REHAB CROMWELL,156 BERLIN ROAD,CROMWELL,CT,06416,Y,Y,0,1,0,20,0,11,0,13,0,7,75,57,,,,,0,3,0,2,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,350.9,122.8,35,N,Middlesex,POINT (-72.712975 41.607341000000005),N,Y,N,N,N,N,N,N,1-2 DAYS,N,N,N,N,N,N,Y,N,N,N,N,N,N,1-2 DAYS,N,N,N,N,N,N
08/23/2020,075111,WOLCOTT HALL NURSING CTR,215 FOREST ST,TORRINGTON,CT,06790,Y,Y,0,1,0,5,0,3,0,4,0,0,60,41,,,,,0,0,0,0,0,0,N,N,N,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,N,,,,,122,0,0,N,Litchfield,POINT (-73.128142 41.80896),N,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,N,N,Y,N
